Source,Target,Type,Id,Weight
172,106,Undirected,396,1.0
172,140,Undirected,397,1.0
172,176,Undirected,398,1.0
8,5,Undirected,399,1.0
8,64,Undirected,400,1.0
8,6,Undirected,401,1.0
63,14,Undirected,402,1.0
63,38,Undirected,403,1.0
63,67,Undirected,404,1.0
63,194,Undirected,405,1.0
98,145,Undirected,406,1.0
98,18,Undirected,407,1.0
149,76,Undirected,408,1.0
191,190,Undirected,409,1.0
191,91,Undirected,410,1.0
191,150,Undirected,411,1.0
191,188,Undirected,412,1.0
191,189,Undirected,413,1.0
196,193,Undirected,414,1.0
196,197,Undirected,415,1.0
196,199,Undirected,416,1.0
196,200,Undirected,417,1.0
196,156,Undirected,418,1.0
7,5,Undirected,419,1.0
7,221,Undirected,420,1.0
39,36,Undirected,421,1.0
39,205,Undirected,422,1.0
39,55,Undirected,423,1.0
39,223,Undirected,424,1.0
226,225,Undirected,425,1.0
226,18,Undirected,426,1.0
226,36,Undirected,427,1.0
226,224,Undirected,428,1.0
245,79,Undirected,429,1.0
245,244,Undirected,430,1.0
3,5,Undirected,431,1.0
3,36,Undirected,432,1.0
3,18,Undirected,433,1.0
3,87,Undirected,434,1.0
3,110,Undirected,435,1.0
3,164,Undirected,436,1.0
3,93,Undirected,437,1.0
19,21,Undirected,438,1.0
30,156,Undirected,439,1.0
30,193,Undirected,440,1.0
30,119,Undirected,441,1.0
30,31,Undirected,442,1.0
30,32,Undirected,443,1.0
30,61,Undirected,444,1.0
55,57,Undirected,445,1.0
55,150,Undirected,446,1.0
55,53,Undirected,447,1.0
55,223,Undirected,448,1.0
55,204,Undirected,449,1.0
55,39,Undirected,450,1.0
55,111,Undirected,451,1.0
111,92,Undirected,452,1.0
111,156,Undirected,453,1.0
111,55,Undirected,454,1.0
111,263,Undirected,455,1.0
111,110,Undirected,456,1.0
111,112,Undirected,457,1.0
111,11,Undirected,458,1.0
111,100,Undirected,459,1.0
143,156,Undirected,460,1.0
143,26,Undirected,461,1.0
143,188,Undirected,462,1.0
143,112,Undirected,463,1.0
143,195,Undirected,464,1.0
199,193,Undirected,465,1.0
199,196,Undirected,466,1.0
199,197,Undirected,467,1.0
199,200,Undirected,468,1.0
199,180,Undirected,469,1.0
199,261,Undirected,470,1.0
199,246,Undirected,471,1.0
199,94,Undirected,472,1.0
97,96,Undirected,473,1.0
97,25,Undirected,474,1.0
97,99,Undirected,475,1.0
97,147,Undirected,476,1.0
97,93,Undirected,477,1.0
97,94,Undirected,478,1.0
97,207,Undirected,479,1.0
97,160,Undirected,480,1.0
97,261,Undirected,481,1.0
99,97,Undirected,482,1.0
99,102,Undirected,483,1.0
158,145,Undirected,484,1.0
158,151,Undirected,485,1.0
158,36,Undirected,486,1.0
158,146,Undirected,487,1.0
24,18,Undirected,488,1.0
24,10,Undirected,489,1.0
24,15,Undirected,490,1.0
24,20,Undirected,491,1.0
106,172,Undirected,492,1.0
146,152,Undirected,493,1.0
146,36,Undirected,494,1.0
146,158,Undirected,495,1.0
167,165,Undirected,496,1.0
167,164,Undirected,497,1.0
167,89,Undirected,498,1.0
197,193,Undirected,499,1.0
197,196,Undirected,500,1.0
197,199,Undirected,501,1.0
197,200,Undirected,502,1.0
197,5,Undirected,503,1.0
197,194,Undirected,504,1.0
197,195,Undirected,505,1.0
197,54,Undirected,506,1.0
197,93,Undirected,507,1.0
223,55,Undirected,508,1.0
223,39,Undirected,509,1.0
223,222,Undirected,510,1.0
48,174,Undirected,511,1.0
48,205,Undirected,512,1.0
48,247,Undirected,513,1.0
84,259,Undirected,514,1.0
157,53,Undirected,515,1.0
157,6,Undirected,516,1.0
200,193,Undirected,517,1.0
200,196,Undirected,518,1.0
200,197,Undirected,519,1.0
200,199,Undirected,520,1.0
204,205,Undirected,521,1.0
204,202,Undirected,522,1.0
204,207,Undirected,523,1.0
204,55,Undirected,524,1.0
204,266,Undirected,525,1.0
244,245,Undirected,526,1.0
244,252,Undirected,527,1.0
56,53,Undirected,528,1.0
56,54,Undirected,529,1.0
56,255,Undirected,530,1.0
56,256,Undirected,531,1.0
56,257,Undirected,532,1.0
129,140,Undirected,533,1.0
183,184,Undirected,534,1.0
237,235,Undirected,535,1.0
15,18,Undirected,536,1.0
15,20,Undirected,537,1.0
15,24,Undirected,538,1.0
15,93,Undirected,539,1.0
67,63,Undirected,540,1.0
67,258,Undirected,541,1.0
126,121,Undirected,542,1.0
126,125,Undirected,543,1.0
126,264,Undirected,544,1.0
126,53,Undirected,545,1.0
126,207,Undirected,546,1.0
177,176,Undirected,547,1.0
202,205,Undirected,548,1.0
202,204,Undirected,549,1.0
202,207,Undirected,550,1.0
202,192,Undirected,551,1.0
202,148,Undirected,552,1.0
11,111,Undirected,553,1.0
11,164,Undirected,554,1.0
116,255,Undirected,555,1.0
151,145,Undirected,556,1.0
151,158,Undirected,557,1.0
151,224,Undirected,558,1.0
151,257,Undirected,559,1.0
207,205,Undirected,560,1.0
207,202,Undirected,561,1.0
207,204,Undirected,562,1.0
207,97,Undirected,563,1.0
207,53,Undirected,564,1.0
207,126,Undirected,565,1.0
207,222,Undirected,566,1.0
240,148,Undirected,567,1.0
243,102,Undirected,568,1.0
6,8,Undirected,569,1.0
6,18,Undirected,570,1.0
6,157,Undirected,571,1.0
6,211,Undirected,572,1.0
61,30,Undirected,573,1.0
31,30,Undirected,574,1.0
31,32,Undirected,575,1.0
31,52,Undirected,576,1.0
32,30,Undirected,577,1.0
32,31,Undirected,578,1.0
54,53,Undirected,579,1.0
54,56,Undirected,580,1.0
54,255,Undirected,581,1.0
54,256,Undirected,582,1.0
54,197,Undirected,583,1.0
70,256,Undirected,584,1.0
100,111,Undirected,585,1.0
100,49,Undirected,586,1.0
100,189,Undirected,587,1.0
125,121,Undirected,588,1.0
125,126,Undirected,589,1.0
125,264,Undirected,590,1.0
140,172,Undirected,591,1.0
154,152,Undirected,592,1.0
154,148,Undirected,593,1.0
154,267,Undirected,594,1.0
194,197,Undirected,595,1.0
194,195,Undirected,596,1.0
194,63,Undirected,597,1.0
220,55,Undirected,598,1.0
221,7,Undirected,599,1.0
224,226,Undirected,600,1.0
224,151,Undirected,601,1.0
26,28,Undirected,602,1.0
26,143,Undirected,603,1.0
26,112,Undirected,604,1.0
89,167,Undirected,605,1.0
148,152,Undirected,606,1.0
148,154,Undirected,607,1.0
148,267,Undirected,608,1.0
148,240,Undirected,609,1.0
148,202,Undirected,610,1.0
160,97,Undirected,611,1.0
160,261,Undirected,612,1.0
173,172,Undirected,613,1.0
188,191,Undirected,614,1.0
188,143,Undirected,615,1.0
188,195,Undirected,616,1.0
65,52,Undirected,617,1.0
65,51,Undirected,618,1.0
192,193,Undirected,619,1.0
192,152,Undirected,620,1.0
192,202,Undirected,621,1.0
192,112,Undirected,622,1.0
20,18,Undirected,623,1.0
20,15,Undirected,624,1.0
20,24,Undirected,625,1.0
176,177,Undirected,626,1.0
176,172,Undirected,627,1.0
189,191,Undirected,628,1.0
189,100,Undirected,629,1.0
201,14,Undirected,630,1.0
246,10,Undirected,631,1.0
246,199,Undirected,632,1.0
252,39,Undirected,633,1.0
252,244,Undirected,634,1.0
50,49,Undirected,635,1.0
102,101,Undirected,636,1.0
102,243,Undirected,637,1.0
102,99,Undirected,638,1.0
93,97,Undirected,639,1.0
93,94,Undirected,640,1.0
93,197,Undirected,641,1.0
93,3,Undirected,642,1.0
93,15,Undirected,643,1.0
94,97,Undirected,644,1.0
94,93,Undirected,645,1.0
94,199,Undirected,646,1.0
94,254,Undirected,647,1.0
112,111,Undirected,648,1.0
112,143,Undirected,649,1.0
112,110,Undirected,650,1.0
112,26,Undirected,651,1.0
164,167,Undirected,652,1.0
164,3,Undirected,653,1.0
164,11,Undirected,654,1.0
211,181,Undirected,655,1.0
211,6,Undirected,656,1.0
247,5,Undirected,657,1.0
247,21,Undirected,658,1.0
247,48,Undirected,659,1.0
110,111,Undirected,660,1.0
110,3,Undirected,661,1.0
110,112,Undirected,662,1.0
